case,family,background,source_id,direction,method,smc_survived,found_cf,terminal_tv,ess_fraction,normalizer_relative_estimate,unique_cf,seconds,best_base_edit_regret,endpoint_mean_meets_gain,endpoint_all_replicates_positive,endpoint_all_replicates_meet_gain,endpoint_base_edits
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,reference,1.0,1.0,0.1803963472277635,0.7288810069666067,1.0074804734670328,5.4375,0.000275813250013357,0.0,1.0,1.0,0.8499658839106583,14.192650405365429
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,myopic,1.0,1.0,0.33120847080091953,0.34807375760924797,1.0744633843352975,4.3125,0.0002502023124719699,0.0,1.0,1.0,0.837543173822207,14.192860363076855
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,rollout,1.0,1.0,0.2071549312065214,0.832436571254977,1.0105625682628843,5.0625,0.0004858899375221881,0.0,1.0,1.0,0.8639695160276206,14.10822690112657
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,learned,1.0,1.0,0.19490805486323912,0.947255931426862,1.0102401676214885,5.3125,0.0017963829999843028,0.0,1.0,1.0,0.8780729504709232,13.868674611409165
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,exact,1.0,1.0,0.2003864070319593,1.0,0.9999999999999996,5.4375,0.0002530831249885068,0.0,1.0,1.0,0.90234375,14.546875
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,defensive_rollout,1.0,1.0,0.19988196135668077,0.8949082933210047,0.9932073628812534,5.25,0.000494313687525505,0.0,1.0,1.0,0.8608168897739121,13.992866901673016
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,reference,1.0,1.0,3.122502256758253e-17,0.2820726825213672,1.0382204772859236,1.0,0.00023843806252443756,0.0,0.0,0.0,0.0,24.0
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,myopic,1.0,1.0,1.3877787807814457e-17,0.20914478988930302,1.7268645979505428,1.0,0.0002561098749822577,0.0,0.0,0.0,0.0,24.0
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,rollout,1.0,1.0,6.245004513516506e-17,0.6718577958557074,0.43991623799326746,1.0,0.0005071363125210837,0.0,0.0,0.0,0.0,24.0
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,learned,1.0,1.0,4.85722573273506e-17,0.8092532328383369,0.9991122956817958,1.0,0.0018208060624829159,0.0,0.0,0.0,0.0,24.0
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,exact,1.0,1.0,6.938893903907228e-18,1.0,0.9999999999999993,1.0,0.0002554318124907695,0.0,0.0,0.0,0.0,24.0
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,defensive_rollout,1.0,1.0,2.42861286636753e-17,0.4084689228801878,1.143855648692985,1.0,0.0004970726249808877,0.0,0.0,0.0,0.0,24.0
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,reference,1.0,1.0,0.10101737902519231,0.43801782984049564,1.0886490003952416,2.0,0.00026777568749025704,0.0,0.12954359061881537,0.12954359061881537,0.12954359061881537,2.6840666780445996
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,myopic,1.0,1.0,0.09547144848353281,0.6658775421859982,0.9710171404696195,1.9375,0.00024339793752403693,0.0,0.13106267164608765,0.13106267164608765,0.13106267164608765,2.70381473139914
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,rollout,1.0,1.0,0.07941993360270291,0.744127438761097,0.8958829377648234,2.0,0.0004898451874737475,0.0,0.14494568234794775,0.14494568234794775,0.14494568234794775,2.8842938705233205
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,learned,1.0,1.0,0.0744363639619001,0.9386596356258117,0.9682285043360883,2.0,0.001788614624970819,0.0,0.1333757998389221,0.1333757998389221,0.1333757998389221,2.733885397905987
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,exact,1.0,1.0,0.10690779671932481,0.9999999999999999,1.0000000000000004,2.0,0.00025354156254309146,0.0,0.203125,0.203125,0.203125,3.640625
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,defensive_rollout,1.0,1.0,0.09838975791735419,0.7121563804268484,1.0466633876295186,2.0,0.0004931406875101629,0.0,0.18963747573940648,0.18963747573940648,0.18963747573940648,3.4652871846122846
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,reference,1.0,1.0,6.245004513516506e-17,0.33344190243631266,0.916397123616994,1.0,0.00023850312499007487,0.0,1.0,1.0,0.0,10.0
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,myopic,1.0,1.0,5.204170427930421e-17,0.32616005661044867,0.8341512996240286,1.0,0.000253360750008369,0.0,1.0,1.0,0.0,10.0
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,rollout,1.0,1.0,5.204170427930421e-17,0.7384814957921917,0.7883111843110706,1.0,0.0004876838124943106,0.0,1.0,1.0,0.0,10.0
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,learned,1.0,1.0,3.122502256758253e-17,0.8778580365076334,1.081156534096666,1.0,0.0018233498124686776,0.0,1.0,1.0,0.0,10.0
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,exact,1.0,1.0,3.469446951953614e-18,1.0,1.0000000000000002,1.0,0.00025299318751592637,0.0,1.0,1.0,0.0,10.0
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,defensive_rollout,1.0,1.0,4.5102810375396984e-17,0.6197753969340994,1.1030826733411438,1.0,0.0005146561875193356,0.0,1.0,1.0,0.0,10.0
046e34eb724b8439,"CEBPA,YY1,YY1",2,seq_132510,-1,reference,1.0,1.0,0.14473759538802117,0.5079261041784927,0.9434986230417135,3.0,0.00023990149999519872,0.0,1.0,0.680827141608259,0.0,12.87255572552567
046e34eb724b8439,"CEBPA,YY1,YY1",2,seq_132510,-1,myopic,1.0,1.0,0.25610887569834806,0.3194540168123725,0.94634773065045,2.9375,0.0002446003124987328,0.0,1.0,0.5610640110426569,0.0,13.950423900616087
046e34eb724b8439,"CEBPA,YY1,YY1",2,seq_132510,-1,rollout,1.0,1.0,0.14606275260487836,0.7642374037828689,0.9409514511762193,2.9375,0.0004869864999506035,0.0,1.0,0.6772376256292975,0.0,12.904861369336322
046e34eb724b8439,"CEBPA,YY1,YY1",2,seq_132510,-1,learned,1.0,1.0,0.15018012466060898,0.8404673415131334,0.9802146189437707,2.9375,0.0018326097500107608,0.0,1.0,0.5896460412601845,0.0,13.693185628658338
046e34eb724b8439,"CEBPA,YY1,YY1",2,seq_132510,-1,exact,1.0,1.0,0.12280663233248265,1.0,1.0000000000000004,2.875,0.00025053837498489884,0.0,1.0,0.67578125,0.0,12.91796875
