case,family,background,source_id,direction,model_feasible,assay_mean_feasible,assay_strict_feasible,feasible_states,normalizer,minimum_feasible_base_edits,exact_target_base_edits,factorized_invalid_mass,exact_target_assay_mean,exact_target_assay_strict,local_clause_count,blocking_run_clauses,blocking_run_complete,expected_regions_3_independent_draws,regions_3_exact_blocking_rounds
00ad5cfc3bb35bb9,"AHR,CTCF,ONECUT1",2,seq_201072,-1,False,True,True,,,,,,,,,,,,
00d2c50cce7ba802,"HNF4A,SP1,YY1",2,seq_133922,1,False,True,False,,,,,,,,,,,,
00f3f269cfc9d8b7,"CEBPA,HNF1A,HNF1A",2,seq_174288,1,False,False,False,,,,,,,,,,,,
011e7a3c154ca8e5,"RXRA,RXRA,SP1",2,seq_139164,1,False,False,False,,,,,,,,,,,,
017d6fba62320768,"AHR,CEBPA,PPARA",2,seq_130148,-1,False,False,False,,,,,,,,,,,,
02012a009a36f192,"CEBPA,FOXA1,TFAP2C",2,seq_131354,1,False,False,False,,,,,,,,,,,,
02c00643ca5006af,"AHR,CEBPA,PPARA",2,seq_130942,-1,False,False,False,,,,,,,,,,,,
031e262895b0c8bc,"AHR,AP1,SP1",2,seq_169872,-1,False,True,True,,,,,,,,,,,,
0357f7f0f0999b2e,"CEBPA,FOXA1,RXRA",1,seq_156711,-1,False,False,False,,,,,,,,,,,,
03e692f976b0bd1f,"AHR,CEBPA,PPARA",1,seq_130941,-1,False,False,False,,,,,,,,,,,,
03f0653c76ef5483,"ONECUT1,ONECUT1,ONECUT1",1,seq_143183,1,False,False,False,,,,,,,,,,,,
046e34eb724b8439,"CEBPA,YY1,YY1",2,seq_132510,-1,False,False,False,,,,,,,,,,,,
04890414dc9722e1,"HNF1A,NR2F2,YY1",2,seq_174544,1,False,False,False,,,,,,,,,,,,
04bba97e3eacc771,"CEBPA,REST,RXRA",1,seq_129441,1,True,True,False,1.0,0.008320542656043229,24.0,24.0,0.0,1.0,0.0,1.0,1.0,True,1.0,1.0
05493b054772ccd5,"PPARA,RXRA,SP1",2,seq_185650,1,False,False,False,,,,,,,,,,,,
067037ea532fbcdb,"FOXA1,ONECUT1,PPARA",1,seq_183713,-1,True,True,True,3.0,0.02484689275407991,21.0,22.460236950010795,0.20436727936594296,1.0,0.0,2.0,2.0,True,1.7330777438064153,2.0
0679e5d0f2f0d3fc,"HNF1A,YY1,YY1",1,seq_174443,-1,False,False,False,,,,,,,,,,,,
069a2579961e4beb,"GABPA,HNF4A,REST",1,seq_155235,-1,False,True,False,,,,,,,,,,,,
06ad376329652954,"FOXA1,ONECUT1,ONECUT1",1,seq_123585,1,True,True,True,3.0,0.027660321728779025,20.0,21.453038403691725,0.20467344332582899,0.9999999999999999,0.5748093898802157,2.0,2.0,True,1.7332106655572495,2.0
079eb6a5ff8241e5,"AP1,RXRA,YY1",2,seq_134232,1,False,False,False,,,,,,,,,,,,
07d3c3b87255bce0,"RXRA,SP1,YY1",2,seq_134196,1,False,True,False,,,,,,,,,,,,
